kennel,animalid,jurisdiction,intype,insubtype,indate,surreason,outtype,outsubtype,outdate,animaltype,sex,bites,petsize,color,breed,sourcezipcode,ObjectId
202,A721104,40211,STRAY,FIELD,2022-08-10 00:00:00,STRAY,FOSTER,TIME/SPACE,2022-08-16 00:00:00,DOG,S,N,MED,BROWN / WHITE,PIT BULL,40218,20551
LOST,A733812,,LOST,WEB,2023-03-10 00:00:00,,,,,CAT,M,,MED,BLACK,DOMESTIC SH,,20552
LOST,A733914,,LOST,WEB,2023-03-15 00:00:00,,,,,DOG,F,,MED,BLACK,GREAT DANE,,20553
INTAKE,A734034,40299,STRAY,OTC,2023-04-17 00:00:00,STRAY,TNR,CARETAKER,2023-04-19 00:00:00,CAT,N,N,MED,ORG TABBY / WHITE,DOMESTIC SH,40299,20554
INTAKE,A734113,40212,STRAY,OTC,2023-05-02 00:00:00,STRAY,TNR,CARETAKER,2023-05-04 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40211,20555
INTAKE,A734124,40214,STRAY,OTC,2023-05-30 00:00:00,STRAY,TNR,CARETAKER,2023-06-01 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40214,20556
INTAKE,A734187,40229,STRAY,OTC,2023-05-24 00:00:00,STRAY,TNR,CARETAKER,2023-05-26 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40229,20557
INTAKE,A734189,40229,STRAY,OTC,2023-05-24 00:00:00,STRAY,TNR,CARETAKER,2023-05-26 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40229,20558
INTAKE,A734330,40215,STRAY,OTC,2023-06-21 00:00:00,STRAY,TNR,CARETAKER,2023-06-23 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40215,20559
INTAKE,A734332,40215,STRAY,OTC,2023-06-21 00:00:00,STRAY,TNR,CARETAKER,2023-06-23 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40215,20560
K101B,A729814,40207,CONFISCATE,POLICE,2023-01-05 00:00:00,UNKNOWN,RTO,IN KENNEL,2023-01-14 00:00:00,DOG,F,N,SMALL,GRAY,AMER BULLDOG / PIT BULL,40223,20561
FOSTER,A729857,40216,FOSTER,RETURN,2023-02-13 00:00:00,VIOLATION,TRANSFER,RESCUE GRP,2023-02-13 00:00:00,DOG,S,N,MED,TRICOLOR,BEAGLE,40222,20562
LOST,A730202,,LOST,WEB,2023-01-08 00:00:00,,,,,DOG,M,,LARGE,BLACK,AUST SHEPHERD,,20563
LOST,A730317,,LOST,WEB,2023-01-09 00:00:00,,,,,CAT,M,,SMALL,BLACK,DOMESTIC LH,,20564
NECROPSY,A730330,40210,DISPOSAL,FIELD,2023-01-12 00:00:00,DOA,DISPOSAL,NECROPSY,2023-01-13 00:00:00,CAT,M,N,MED,GRAY,MAINE COON,40210,20565
